"ID","workerFirstName","workerLastName","username","email","password","phoneNum","abnNum","certs"
556,Stacy,Smith,Sta556,Stacy.Smith@gmail.com,asdf,76350014,33756363730,None
557,Poppy,Williams,Pop557,Poppy.Williams@gmail.com,asdf,27019275,67098490227,None
558,Oscar,Cook,Osc558,Oscar.Cook@gmail.com,asdf,4999899,68281437440,None
559,Jacob,Williams,Jac559,Jacob.Williams@gmail.com,asdf,1176733,99527267509,None
560,Sophie,Anderson,Sop560,Sophie.Anderson@gmail.com,asdf,63323990,80536823502,None
561,Jack,Miller,Jac561,Jack.Miller@gmail.com,asdf,13310141,77770242568,None
562,Jacob,Hill,Jac562,Jacob.Hill@gmail.com,asdf,20303647,81874340089,None
563,George,Jones,Geo563,George.Jones@gmail.com,asdf,28181713,55597149823,None
564,Emily,Murphy,Emi564,Emily.Murphy@gmail.com,asdf,68930508,73134338556,None
565,Charlie,Miller,Cha565,Charlie.Miller@gmail.com,asdf,5732239,22755187553,None
566,James,Jones,Jam566,James.Jones@gmail.com,asdf,64649560,35576057902,None
567,Isla,Brown,Isl567,Isla.Brown@gmail.com,asdf,23909543,64655827249,None
568,Charlie,Morgan,Cha568,Charlie.Morgan@gmail.com,asdf,57897715,10848443088,None
569,Jacob,Smith,Jac569,Jacob.Smith@gmail.com,asdf,28879058,38933867235,None
570,Emily,Brown,Emi570,Emily.Brown@gmail.com,asdf,79827537,30530067411,None
571,Emily,Hill,Emi571,Emily.Hill@gmail.com,asdf,27072533,65989007856,None
572,Harry,Lopez,Har572,Harry.Lopez@gmail.com,asdf,31454830,40458710400,None
573,Oliver,Johnson,Oli573,Oliver.Johnson@gmail.com,asdf,35599410,38011989981,None
574,Sophie,Johnson,Sop574,Sophie.Johnson@gmail.com,asdf,82462707,48494620708,None
575,George,Brown,Geo575,George.Brown@gmail.com,asdf,1149649,63967954625,None
576,Jack,Wilson,Jac576,Jack.Wilson@gmail.com,asdf,69186695,97997601678,None
577,Harry,Anderson,Har577,Harry.Anderson@gmail.com,asdf,63076006,97995557765,None
578,Jack,Anderson,Jac578,Jack.Anderson@gmail.com,asdf,40539747,97488092708,None
579,Jacob,Reed,Jac579,Jacob.Reed@gmail.com,asdf,21550418,70339218557,None
580,Poppy,Morgan,Pop580,Poppy.Morgan@gmail.com,asdf,74289710,34291158043,None
581,William,Smith,Wil581,William.Smith@gmail.com,asdf,68578950,51531282361,None
582,Jack,Johnson,Jac582,Jack.Johnson@gmail.com,asdf,79028821,14974470793,None
583,Oliver,Anderson,Oli583,Oliver.Anderson@gmail.com,asdf,33706995,40660738915,None
584,Oliver,Wilson,Oli584,Oliver.Wilson@gmail.com,asdf,61495054,89430658287,None
585,Stacy,Lopez,Sta585,Stacy.Lopez@gmail.com,asdf,67551990,65246307225,None
586,Sophie,Murphy,Sop586,Sophie.Murphy@gmail.com,asdf,65992505,32281907884,None
587,Isla,Wilson,Isl587,Isla.Wilson@gmail.com,asdf,33795327,30492380681,None
588,William,Murphy,Wil588,William.Murphy@gmail.com,asdf,87394827,24765069535,None
589,Emily,Davis,Emi589,Emily.Davis@gmail.com,asdf,12772977,12679203352,None
590,Stacy,Lopez,Sta590,Stacy.Lopez@gmail.com,asdf,62418032,50825735593,None
591,Bob,Johnson,Bob591,Bob.Johnson@gmail.com,asdf,52832561,31645997999,None
592,George,Cook,Geo592,George.Cook@gmail.com,asdf,69994046,61015258584,None
593,Bob,Smith,Bob593,Bob.Smith@gmail.com,asdf,47908641,84657180417,None
594,Poppy,Johnson,Pop594,Poppy.Johnson@gmail.com,asdf,1023892,72877128841,None
595,Charlie,Reed,Cha595,Charlie.Reed@gmail.com,asdf,1737794,75433779077,None
596,Charlie,Cook,Cha596,Charlie.Cook@gmail.com,asdf,705903,94411678526,None
597,Emily,Davis,Emi597,Emily.Davis@gmail.com,asdf,85743838,89963674168,None
598,Harry,Jones,Har598,Harry.Jones@gmail.com,asdf,6557006,26198604739,None
599,George,Brown,Geo599,George.Brown@gmail.com,asdf,36217672,74359946055,None
